"state","cases","deaths","rate"
"China","136975","696","0.51"
"上海市","64176","595","0.93"
"云南省","2411","2","0.08"
"内蒙古自治区","2790","1","0.04"
"北京市","4227","9","0.21"
"吉林省","40329","5","0.01"
"四川省","5650","3","0.05"
"天津市","2375","3","0.13"
"宁夏回族自治区","120","0","0"
"安徽省","1506","6","0.4"
"山东省","3106","7","0.23"
"山西省","482","0","0"
"广东省","10055","8","0.08"
"广西壮族自治区","2329","2","0.09"
"新疆维吾尔自治区","1164","2","0.17"
"江苏省","2411","0","0"
"江西省","1495","1","0.07"
"河北省","2029","7","0.34"
"河南省","3330","22","0.66"
"浙江省","3425","1","0.03"
"海南省","8955","6","0.07"
"湖北省","68429","4512","6.59"
"湖南省","1457","4","0.27"
"甘肃省","1350","2","0.15"
"福建省","4372","1","0.02"
"西藏自治区","1385","0","0"
"贵州省","921","2","0.22"
"辽宁省","1890","2","0.11"
"重庆市","1043","6","0.58"
"陕西省","3746","3","0.08"
"青海省","239","0","0"
"黑龙江省","3389","13","0.38"
"台湾省","6522803","11163","0.17"
